number of characters,length of case,case,expected value
2,2,[0. 0.],6.0
2,2,[0. 1.],4.0
2,2,[1. 0.],4.0
2,2,[1. 1.],6.0
2,3,[0. 0. 0.],14.0
2,3,[0. 0. 1.],10.0
2,3,[0. 1. 0.],10.0
2,3,[0. 1. 1.],8.0
2,3,[1. 0. 0.],8.0
2,3,[1. 0. 1.],10.0
2,3,[1. 1. 0.],10.0
2,3,[1. 1. 1.],14.0
2,4,[0. 0. 0. 0.],30.0
2,4,[0. 0. 0. 1.],22.0
2,4,[0. 0. 1. 0.],20.0
2,4,[0. 0. 1. 1.],18.0
2,4,[0. 1. 0. 0.],20.0
2,4,[0. 1. 0. 1.],20.0
2,4,[0. 1. 1. 0.],18.0
2,4,[0. 1. 1. 1.],16.0
2,4,[1. 0. 0. 0.],16.0
2,4,[1. 0. 0. 1.],18.0
2,4,[1. 0. 1. 0.],20.0
2,4,[1. 0. 1. 1.],20.0
2,4,[1. 1. 0. 0.],18.0
2,4,[1. 1. 0. 1.],20.0
2,4,[1. 1. 1. 0.],22.0
2,4,[1. 1. 1. 1.],30.0
2,5,[0. 0. 0. 0. 0.],62.0
2,5,[0. 0. 0. 0. 1.],46.0
2,5,[0. 0. 0. 1. 0.],40.0
2,5,[0. 0. 0. 1. 1.],38.0
2,5,[0. 0. 1. 0. 0.],40.0
2,5,[0. 0. 1. 0. 1.],36.0
2,5,[0. 0. 1. 1. 0.],36.0
2,5,[0. 0. 1. 1. 1.],34.0
2,5,[0. 1. 0. 0. 0.],38.0
2,5,[0. 1. 0. 0. 1.],38.0
2,5,[0. 1. 0. 1. 0.],42.0
2,5,[0. 1. 0. 1. 1.],36.0
2,5,[0. 1. 1. 0. 0.],36.0
2,5,[0. 1. 1. 0. 1.],36.0
2,5,[0. 1. 1. 1. 0.],34.0
2,5,[0. 1. 1. 1. 1.],32.0
2,5,[1. 0. 0. 0. 0.],32.0
2,5,[1. 0. 0. 0. 1.],34.0
2,5,[1. 0. 0. 1. 0.],36.0
2,5,[1. 0. 0. 1. 1.],36.0
2,5,[1. 0. 1. 0. 0.],36.0
2,5,[1. 0. 1. 0. 1.],42.0
2,5,[1. 0. 1. 1. 0.],38.0
2,5,[1. 0. 1. 1. 1.],38.0
2,5,[1. 1. 0. 0. 0.],34.0
2,5,[1. 1. 0. 0. 1.],36.0
2,5,[1. 1. 0. 1. 0.],36.0
2,5,[1. 1. 0. 1. 1.],40.0
2,5,[1. 1. 1. 0. 0.],38.0
2,5,[1. 1. 1. 0. 1.],40.0
2,5,[1. 1. 1. 1. 0.],46.0
2,5,[1. 1. 1. 1. 1.],62.0
2,6,[0. 0. 0. 0. 0. 0.],126.0
2,6,[0. 0. 0. 0. 0. 1.],94.0
2,6,[0. 0. 0. 0. 1. 0.],80.0
2,6,[0. 0. 0. 0. 1. 1.],78.0
2,6,[0. 0. 0. 1. 0. 0.],76.0
2,6,[0. 0. 0. 1. 0. 1.],72.0
2,6,[0. 0. 0. 1. 1. 0.],72.0
2,6,[0. 0. 0. 1. 1. 1.],70.0
2,6,[0. 0. 1. 0. 0. 0.],76.0
2,6,[0. 0. 1. 0. 0. 1.],76.0
2,6,[0. 0. 1. 0. 1. 0.],70.0
2,6,[0. 0. 1. 0. 1. 1.],68.0
2,6,[0. 0. 1. 1. 0. 0.],72.0
2,6,[0. 0. 1. 1. 0. 1.],68.0
2,6,[0. 0. 1. 1. 1. 0.],68.0
2,6,[0. 0. 1. 1. 1. 1.],66.0
2,6,[0. 1. 0. 0. 0. 0.],72.0
2,6,[0. 1. 0. 0. 0. 1.],72.0
2,6,[0. 1. 0. 0. 1. 0.],76.0
2,6,[0. 1. 0. 0. 1. 1.],70.0
2,6,[0. 1. 0. 1. 0. 0.],76.0
2,6,[0. 1. 0. 1. 0. 1.],84.0
2,6,[0. 1. 0. 1. 1. 0.],70.0
2,6,[0. 1. 0. 1. 1. 1.],68.0
2,6,[0. 1. 1. 0. 0. 0.],70.0
2,6,[0. 1. 1. 0. 0. 1.],70.0
2,6,[0. 1. 1. 0. 1. 0.],70.0
2,6,[0. 1. 1. 0. 1. 1.],72.0
2,6,[0. 1. 1. 1. 0. 0.],68.0
2,6,[0. 1. 1. 1. 0. 1.],68.0
2,6,[0. 1. 1. 1. 1. 0.],66.0
2,6,[0. 1. 1. 1. 1. 1.],64.0
2,6,[1. 0. 0. 0. 0. 0.],64.0
2,6,[1. 0. 0. 0. 0. 1.],66.0
2,6,[1. 0. 0. 0. 1. 0.],68.0
2,6,[1. 0. 0. 0. 1. 1.],68.0
2,6,[1. 0. 0. 1. 0. 0.],72.0
2,6,[1. 0. 0. 1. 0. 1.],70.0
2,6,[1. 0. 0. 1. 1. 0.],70.0
2,6,[1. 0. 0. 1. 1. 1.],70.0
2,6,[1. 0. 1. 0. 0. 0.],68.0
2,6,[1. 0. 1. 0. 0. 1.],70.0
2,6,[1. 0. 1. 0. 1. 0.],84.0
2,6,[1. 0. 1. 0. 1. 1.],76.0
2,6,[1. 0. 1. 1. 0. 0.],70.0
2,6,[1. 0. 1. 1. 0. 1.],76.0
2,6,[1. 0. 1. 1. 1. 0.],72.0
2,6,[1. 0. 1. 1. 1. 1.],72.0
2,6,[1. 1. 0. 0. 0. 0.],66.0
2,6,[1. 1. 0. 0. 0. 1.],68.0
2,6,[1. 1. 0. 0. 1. 0.],68.0
2,6,[1. 1. 0. 0. 1. 1.],72.0
2,6,[1. 1. 0. 1. 0. 0.],68.0
2,6,[1. 1. 0. 1. 0. 1.],70.0
2,6,[1. 1. 0. 1. 1. 0.],76.0
2,6,[1. 1. 0. 1. 1. 1.],76.0
2,6,[1. 1. 1. 0. 0. 0.],70.0
2,6,[1. 1. 1. 0. 0. 1.],72.0
2,6,[1. 1. 1. 0. 1. 0.],72.0
2,6,[1. 1. 1. 0. 1. 1.],76.0
2,6,[1. 1. 1. 1. 0. 0.],78.0
2,6,[1. 1. 1. 1. 0. 1.],80.0
2,6,[1. 1. 1. 1. 1. 0.],94.0
2,6,[1. 1. 1. 1. 1. 1.],126.0
2,7,[0. 0. 0. 0. 0. 0. 0.],254.0
2,7,[0. 0. 0. 0. 0. 0. 1.],190.0
2,7,[0. 0. 0. 0. 0. 1. 0.],160.0
2,7,[0. 0. 0. 0. 0. 1. 1.],158.0
2,7,[0. 0. 0. 0. 1. 0. 0.],148.0
2,7,[0. 0. 0. 0. 1. 0. 1.],144.0
2,7,[0. 0. 0. 0. 1. 1. 0.],144.0
2,7,[0. 0. 0. 0. 1. 1. 1.],142.0
2,7,[0. 0. 0. 1. 0. 0. 0.],148.0
2,7,[0. 0. 0. 1. 0. 0. 1.],140.0
2,7,[0. 0. 0. 1. 0. 1. 0.],138.0
2,7,[0. 0. 0. 1. 0. 1. 1.],136.0
2,7,[0. 0. 0. 1. 1. 0. 0.],140.0
2,7,[0. 0. 0. 1. 1. 0. 1.],136.0
2,7,[0. 0. 0. 1. 1. 1. 0.],136.0
2,7,[0. 0. 0. 1. 1. 1. 1.],134.0
2,7,[0. 0. 1. 0. 0. 0. 0.],144.0
2,7,[0. 0. 1. 0. 0. 0. 1.],144.0
2,7,[0. 0. 1. 0. 0. 1. 0.],150.0
2,7,[0. 0. 1. 0. 0. 1. 1.],140.0
2,7,[0. 0. 1. 0. 1. 0. 0.],138.0
2,7,[0. 0. 1. 0. 1. 0. 1.],134.0
2,7,[0. 0. 1. 0. 1. 1. 0.],134.0
2,7,[0. 0. 1. 0. 1. 1. 1.],132.0
2,7,[0. 0. 1. 1. 0. 0. 0.],140.0
2,7,[0. 0. 1. 1. 0. 0. 1.],140.0
2,7,[0. 0. 1. 1. 0. 1. 0.],134.0
2,7,[0. 0. 1. 1. 0. 1. 1.],132.0
2,7,[0. 0. 1. 1. 1. 0. 0.],136.0
2,7,[0. 0. 1. 1. 1. 0. 1.],132.0
2,7,[0. 0. 1. 1. 1. 1. 0.],132.0
2,7,[0. 0. 1. 1. 1. 1. 1.],130.0
2,7,[0. 1. 0. 0. 0. 0. 0.],138.0
2,7,[0. 1. 0. 0. 0. 0. 1.],138.0
2,7,[0. 1. 0. 0. 0. 1. 0.],142.0
2,7,[0. 1. 0. 0. 0. 1. 1.],136.0
2,7,[0. 1. 0. 0. 1. 0. 0.],150.0
2,7,[0. 1. 0. 0. 1. 0. 1.],142.0
2,7,[0. 1. 0. 0. 1. 1. 0.],136.0
2,7,[0. 1. 0. 0. 1. 1. 1.],134.0
2,7,[0. 1. 0. 1. 0. 0. 0.],142.0
2,7,[0. 1. 0. 1. 0. 0. 1.],142.0
2,7,[0. 1. 0. 1. 0. 1. 0.],170.0
2,7,[0. 1. 0. 1. 0. 1. 1.],148.0
2,7,[0. 1. 0. 1. 1. 0. 0.],136.0
2,7,[0. 1. 0. 1. 1. 0. 1.],136.0
2,7,[0. 1. 0. 1. 1. 1. 0.],134.0
2,7,[0. 1. 0. 1. 1. 1. 1.],132.0
2,7,[0. 1. 1. 0. 0. 0. 0.],136.0
2,7,[0. 1. 1. 0. 0. 0. 1.],136.0
2,7,[0. 1. 1. 0. 0. 1. 0.],136.0
2,7,[0. 1. 1. 0. 0. 1. 1.],138.0
2,7,[0. 1. 1. 0. 1. 0. 0.],136.0
2,7,[0. 1. 1. 0. 1. 0. 1.],136.0
2,7,[0. 1. 1. 0. 1. 1. 0.],146.0
2,7,[0. 1. 1. 0. 1. 1. 1.],136.0
2,7,[0. 1. 1. 1. 0. 0. 0.],134.0
2,7,[0. 1. 1. 1. 0. 0. 1.],134.0
2,7,[0. 1. 1. 1. 0. 1. 0.],134.0
2,7,[0. 1. 1. 1. 0. 1. 1.],136.0
2,7,[0. 1. 1. 1. 1. 0. 0.],132.0
2,7,[0. 1. 1. 1. 1. 0. 1.],132.0
2,7,[0. 1. 1. 1. 1. 1. 0.],130.0
2,7,[0. 1. 1. 1. 1. 1. 1.],128.0
2,7,[1. 0. 0. 0. 0. 0. 0.],128.0
2,7,[1. 0. 0. 0. 0. 0. 1.],130.0
2,7,[1. 0. 0. 0. 0. 1. 0.],132.0
2,7,[1. 0. 0. 0. 0. 1. 1.],132.0
2,7,[1. 0. 0. 0. 1. 0. 0.],136.0
2,7,[1. 0. 0. 0. 1. 0. 1.],134.0
2,7,[1. 0. 0. 0. 1. 1. 0.],134.0
2,7,[1. 0. 0. 0. 1. 1. 1.],134.0
2,7,[1. 0. 0. 1. 0. 0. 0.],136.0
2,7,[1. 0. 0. 1. 0. 0. 1.],146.0
2,7,[1. 0. 0. 1. 0. 1. 0.],136.0
2,7,[1. 0. 0. 1. 0. 1. 1.],136.0
2,7,[1. 0. 0. 1. 1. 0. 0.],138.0
2,7,[1. 0. 0. 1. 1. 0. 1.],136.0
2,7,[1. 0. 0. 1. 1. 1. 0.],136.0
2,7,[1. 0. 0. 1. 1. 1. 1.],136.0
2,7,[1. 0. 1. 0. 0. 0. 0.],132.0
2,7,[1. 0. 1. 0. 0. 0. 1.],134.0
2,7,[1. 0. 1. 0. 0. 1. 0.],136.0
2,7,[1. 0. 1. 0. 0. 1. 1.],136.0
2,7,[1. 0. 1. 0. 1. 0. 0.],148.0
2,7,[1. 0. 1. 0. 1. 0. 1.],170.0
2,7,[1. 0. 1. 0. 1. 1. 0.],142.0
2,7,[1. 0. 1. 0. 1. 1. 1.],142.0
2,7,[1. 0. 1. 1. 0. 0. 0.],134.0
2,7,[1. 0. 1. 1. 0. 0. 1.],136.0
2,7,[1. 0. 1. 1. 0. 1. 0.],142.0
2,7,[1. 0. 1. 1. 0. 1. 1.],150.0
2,7,[1. 0. 1. 1. 1. 0. 0.],136.0
2,7,[1. 0. 1. 1. 1. 0. 1.],142.0
2,7,[1. 0. 1. 1. 1. 1. 0.],138.0
2,7,[1. 0. 1. 1. 1. 1. 1.],138.0
2,7,[1. 1. 0. 0. 0. 0. 0.],130.0
2,7,[1. 1. 0. 0. 0. 0. 1.],132.0
2,7,[1. 1. 0. 0. 0. 1. 0.],132.0
2,7,[1. 1. 0. 0. 0. 1. 1.],136.0
2,7,[1. 1. 0. 0. 1. 0. 0.],132.0
2,7,[1. 1. 0. 0. 1. 0. 1.],134.0
2,7,[1. 1. 0. 0. 1. 1. 0.],140.0
2,7,[1. 1. 0. 0. 1. 1. 1.],140.0
2,7,[1. 1. 0. 1. 0. 0. 0.],132.0
2,7,[1. 1. 0. 1. 0. 0. 1.],134.0
2,7,[1. 1. 0. 1. 0. 1. 0.],134.0
2,7,[1. 1. 0. 1. 0. 1. 1.],138.0
2,7,[1. 1. 0. 1. 1. 0. 0.],140.0
2,7,[1. 1. 0. 1. 1. 0. 1.],150.0
2,7,[1. 1. 0. 1. 1. 1. 0.],144.0
2,7,[1. 1. 0. 1. 1. 1. 1.],144.0
2,7,[1. 1. 1. 0. 0. 0. 0.],134.0
2,7,[1. 1. 1. 0. 0. 0. 1.],136.0
2,7,[1. 1. 1. 0. 0. 1. 0.],136.0
2,7,[1. 1. 1. 0. 0. 1. 1.],140.0
2,7,[1. 1. 1. 0. 1. 0. 0.],136.0
2,7,[1. 1. 1. 0. 1. 0. 1.],138.0
2,7,[1. 1. 1. 0. 1. 1. 0.],140.0
2,7,[1. 1. 1. 0. 1. 1. 1.],148.0
2,7,[1. 1. 1. 1. 0. 0. 0.],142.0
2,7,[1. 1. 1. 1. 0. 0. 1.],144.0
2,7,[1. 1. 1. 1. 0. 1. 0.],144.0
2,7,[1. 1. 1. 1. 0. 1. 1.],148.0
2,7,[1. 1. 1. 1. 1. 0. 0.],158.0
2,7,[1. 1. 1. 1. 1. 0. 1.],160.0
2,7,[1. 1. 1. 1. 1. 1. 0.],190.0
2,7,[1. 1. 1. 1. 1. 1. 1.],254.0
2,8,[0. 0. 0. 0. 0. 0. 0. 0.],510.0
2,8,[0. 0. 0. 0. 0. 0. 0. 1.],382.0
2,8,[0. 0. 0. 0. 0. 0. 1. 0.],320.0
2,8,[0. 0. 0. 0. 0. 0. 1. 1.],318.0
2,8,[0. 0. 0. 0. 0. 1. 0. 0.],292.0
2,8,[0. 0. 0. 0. 0. 1. 0. 1.],288.0
2,8,[0. 0. 0. 0. 0. 1. 1. 0.],288.0
2,8,[0. 0. 0. 0. 0. 1. 1. 1.],286.0
2,8,[0. 0. 0. 0. 1. 0. 0. 0.],284.0
2,8,[0. 0. 0. 0. 1. 0. 0. 1.],276.0
2,8,[0. 0. 0. 0. 1. 0. 1. 0.],274.0
2,8,[0. 0. 0. 0. 1. 0. 1. 1.],272.0
2,8,[0. 0. 0. 0. 1. 1. 0. 0.],276.0
