number of characters,length of case,case,expected value
11,3,[0. 6. 4.],1331.0
11,3,[0. 6. 5.],1331.0
11,3,[0. 6. 6.],1331.0
11,3,[0. 6. 7.],1331.0
11,3,[0. 6. 8.],1331.0
11,3,[0. 6. 9.],1331.0
11,3,[ 0.  6. 10.],1331.0
11,3,[0. 7. 0.],1342.0
11,3,[0. 7. 1.],1331.0
11,3,[0. 7. 2.],1331.0
11,3,[0. 7. 3.],1331.0
11,3,[0. 7. 4.],1331.0
11,3,[0. 7. 5.],1331.0
11,3,[0. 7. 6.],1331.0
11,3,[0. 7. 7.],1331.0
11,3,[0. 7. 8.],1331.0
11,3,[0. 7. 9.],1331.0
11,3,[ 0.  7. 10.],1331.0
11,3,[0. 8. 0.],1342.0
11,3,[0. 8. 1.],1331.0
11,3,[0. 8. 2.],1331.0
11,3,[0. 8. 3.],1331.0
11,3,[0. 8. 4.],1331.0
11,3,[0. 8. 5.],1331.0
11,3,[0. 8. 6.],1331.0
11,3,[0. 8. 7.],1331.0
11,3,[0. 8. 8.],1331.0
11,3,[0. 8. 9.],1331.0
11,3,[ 0.  8. 10.],1331.0
11,3,[0. 9. 0.],1342.0
11,3,[0. 9. 1.],1331.0
11,3,[0. 9. 2.],1331.0
11,3,[0. 9. 3.],1331.0
11,3,[0. 9. 4.],1331.0
11,3,[0. 9. 5.],1331.0
11,3,[0. 9. 6.],1331.0
11,3,[0. 9. 7.],1331.0
11,3,[0. 9. 8.],1331.0
11,3,[0. 9. 9.],1331.0
11,3,[ 0.  9. 10.],1331.0
11,3,[ 0. 10.  0.],1342.0
11,3,[ 0. 10.  1.],1331.0
11,3,[ 0. 10.  2.],1331.0
11,3,[ 0. 10.  3.],1331.0
11,3,[ 0. 10.  4.],1331.0
11,3,[ 0. 10.  5.],1331.0
11,3,[ 0. 10.  6.],1331.0
11,3,[ 0. 10.  7.],1331.0
11,3,[ 0. 10.  8.],1331.0
11,3,[ 0. 10.  9.],1331.0
11,3,[ 0. 10. 10.],1331.0
11,3,[1. 0. 0.],1331.0
11,3,[1. 0. 1.],1342.0
11,3,[1. 0. 2.],1331.0
11,3,[1. 0. 3.],1331.0
11,3,[1. 0. 4.],1331.0
11,3,[1. 0. 5.],1331.0
11,3,[1. 0. 6.],1331.0
11,3,[1. 0. 7.],1331.0
11,3,[1. 0. 8.],1331.0
11,3,[1. 0. 9.],1331.0
11,3,[ 1.  0. 10.],1331.0
11,3,[1. 1. 0.],1342.0
11,3,[1. 1. 1.],1463.0
11,3,[1. 1. 2.],1342.0
11,3,[1. 1. 3.],1342.0
11,3,[1. 1. 4.],1342.0
11,3,[1. 1. 5.],1342.0
11,3,[1. 1. 6.],1342.0
11,3,[1. 1. 7.],1342.0
11,3,[1. 1. 8.],1342.0
11,3,[1. 1. 9.],1342.0
11,3,[ 1.  1. 10.],1342.0
11,3,[1. 2. 0.],1331.0
11,3,[1. 2. 1.],1342.0
11,3,[1. 2. 2.],1331.0
11,3,[1. 2. 3.],1331.0
11,3,[1. 2. 4.],1331.0
11,3,[1. 2. 5.],1331.0
11,3,[1. 2. 6.],1331.0
11,3,[1. 2. 7.],1331.0
11,3,[1. 2. 8.],1331.0
11,3,[1. 2. 9.],1331.0
11,3,[ 1.  2. 10.],1331.0
11,3,[1. 3. 0.],1331.0
11,3,[1. 3. 1.],1342.0
11,3,[1. 3. 2.],1331.0
11,3,[1. 3. 3.],1331.0
11,3,[1. 3. 4.],1331.0
11,3,[1. 3. 5.],1331.0
11,3,[1. 3. 6.],1331.0
11,3,[1. 3. 7.],1331.0
11,3,[1. 3. 8.],1331.0
11,3,[1. 3. 9.],1331.0
11,3,[ 1.  3. 10.],1331.0
11,3,[1. 4. 0.],1331.0
11,3,[1. 4. 1.],1342.0
11,3,[1. 4. 2.],1331.0
11,3,[1. 4. 3.],1331.0
11,3,[1. 4. 4.],1331.0
11,3,[1. 4. 5.],1331.0
11,3,[1. 4. 6.],1331.0
11,3,[1. 4. 7.],1331.0
11,3,[1. 4. 8.],1331.0
11,3,[1. 4. 9.],1331.0
11,3,[ 1.  4. 10.],1331.0
11,3,[1. 5. 0.],1331.0
11,3,[1. 5. 1.],1342.0
11,3,[1. 5. 2.],1331.0
11,3,[1. 5. 3.],1331.0
11,3,[1. 5. 4.],1331.0
11,3,[1. 5. 5.],1331.0
11,3,[1. 5. 6.],1331.0
11,3,[1. 5. 7.],1331.0
11,3,[1. 5. 8.],1331.0
11,3,[1. 5. 9.],1331.0
11,3,[ 1.  5. 10.],1331.0
11,3,[1. 6. 0.],1331.0
11,3,[1. 6. 1.],1342.0
11,3,[1. 6. 2.],1331.0
11,3,[1. 6. 3.],1331.0
11,3,[1. 6. 4.],1331.0
11,3,[1. 6. 5.],1331.0
11,3,[1. 6. 6.],1331.0
11,3,[1. 6. 7.],1331.0
