number of characters,length of case,case,expected value
5,2,[0. 0.],30.0
5,2,[0. 1.],25.0
5,2,[0. 2.],25.0
5,2,[0. 3.],25.0
5,2,[0. 4.],25.0
5,2,[1. 0.],25.0
5,2,[1. 1.],30.0
5,2,[1. 2.],25.0
5,2,[1. 3.],25.0
5,2,[1. 4.],25.0
5,2,[2. 0.],25.0
5,2,[2. 1.],25.0
5,2,[2. 2.],30.0
5,2,[2. 3.],25.0
5,2,[2. 4.],25.0
5,2,[3. 0.],25.0
5,2,[3. 1.],25.0
5,2,[3. 2.],25.0
5,2,[3. 3.],30.0
5,2,[3. 4.],25.0
5,2,[4. 0.],25.0
5,2,[4. 1.],25.0
5,2,[4. 2.],25.0
5,2,[4. 3.],25.0
5,2,[4. 4.],30.0
5,3,[0. 0. 0.],155.0
5,3,[0. 0. 1.],130.0
5,3,[0. 0. 2.],130.0
5,3,[0. 0. 3.],130.0
5,3,[0. 0. 4.],130.0
5,3,[0. 1. 0.],130.0
5,3,[0. 1. 1.],125.0
5,3,[0. 1. 2.],125.0
5,3,[0. 1. 3.],125.0
5,3,[0. 1. 4.],125.0
5,3,[0. 2. 0.],130.0
5,3,[0. 2. 1.],125.0
5,3,[0. 2. 2.],125.0
5,3,[0. 2. 3.],125.0
5,3,[0. 2. 4.],125.0
5,3,[0. 3. 0.],130.0
5,3,[0. 3. 1.],125.0
5,3,[0. 3. 2.],125.0
5,3,[0. 3. 3.],125.0
5,3,[0. 3. 4.],125.0
5,3,[0. 4. 0.],130.0
5,3,[0. 4. 1.],125.0
5,3,[0. 4. 2.],125.0
5,3,[0. 4. 3.],125.0
5,3,[0. 4. 4.],125.0
5,3,[1. 0. 0.],125.0
5,3,[1. 0. 1.],130.0
5,3,[1. 0. 2.],125.0
5,3,[1. 0. 3.],125.0
5,3,[1. 0. 4.],125.0
5,3,[1. 1. 0.],130.0
5,3,[1. 1. 1.],155.0
5,3,[1. 1. 2.],130.0
5,3,[1. 1. 3.],130.0
5,3,[1. 1. 4.],130.0
5,3,[1. 2. 0.],125.0
5,3,[1. 2. 1.],130.0
