number of characters,length of case,case,expected value
19,2,[0. 0.],380.0
19,2,[0. 1.],361.0
19,2,[0. 2.],361.0
19,2,[0. 3.],361.0
19,2,[0. 4.],361.0
19,2,[0. 5.],361.0
19,2,[0. 6.],361.0
19,2,[0. 7.],361.0
19,2,[0. 8.],361.0
19,2,[0. 9.],361.0
19,2,[ 0. 10.],361.0
19,2,[ 0. 11.],361.0
19,2,[ 0. 12.],361.0
19,2,[ 0. 13.],361.0
19,2,[ 0. 14.],361.0
19,2,[ 0. 15.],361.0
19,2,[ 0. 16.],361.0
19,2,[ 0. 17.],361.0
19,2,[ 0. 18.],361.0
19,2,[1. 0.],361.0
19,2,[1. 1.],380.0
19,2,[1. 2.],361.0
19,2,[1. 3.],361.0
19,2,[1. 4.],361.0
19,2,[1. 5.],361.0
19,2,[1. 6.],361.0
19,2,[1. 7.],361.0
19,2,[1. 8.],361.0
19,2,[1. 9.],361.0
19,2,[ 1. 10.],361.0
19,2,[ 1. 11.],361.0
19,2,[ 1. 12.],361.0
19,2,[ 1. 13.],361.0
19,2,[ 1. 14.],361.0
19,2,[ 1. 15.],361.0
19,2,[ 1. 16.],361.0
19,2,[ 1. 17.],361.0
19,2,[ 1. 18.],361.0
19,2,[2. 0.],361.0
19,2,[2. 1.],361.0
19,2,[2. 2.],380.0
19,2,[2. 3.],361.0
19,2,[2. 4.],361.0
19,2,[2. 5.],361.0
19,2,[2. 6.],361.0
19,2,[2. 7.],361.0
19,2,[2. 8.],361.0
19,2,[2. 9.],361.0
19,2,[ 2. 10.],361.0
19,2,[ 2. 11.],361.0
19,2,[ 2. 12.],361.0
19,2,[ 2. 13.],361.0
19,2,[ 2. 14.],361.0
19,2,[ 2. 15.],361.0
19,2,[ 2. 16.],361.0
19,2,[ 2. 17.],361.0
19,2,[ 2. 18.],361.0
19,2,[3. 0.],361.0
19,2,[3. 1.],361.0
19,2,[3. 2.],361.0
19,2,[3. 3.],380.0
19,2,[3. 4.],361.0
19,2,[3. 5.],361.0
19,2,[3. 6.],361.0
19,2,[3. 7.],361.0
19,2,[3. 8.],361.0
19,2,[3. 9.],361.0
19,2,[ 3. 10.],361.0
19,2,[ 3. 11.],361.0
19,2,[ 3. 12.],361.0
