number of characters,length of case,case,expected value
3,2,[0. 0.],12.0
3,2,[0. 1.],9.0
3,2,[0. 2.],9.0
3,2,[1. 0.],9.0
3,2,[1. 1.],12.0
3,2,[1. 2.],9.0
3,2,[2. 0.],9.0
3,2,[2. 1.],9.0
3,2,[2. 2.],12.0
3,3,[0. 0. 0.],39.0
3,3,[0. 0. 1.],30.0
3,3,[0. 0. 2.],30.0
3,3,[0. 1. 0.],30.0
3,3,[0. 1. 1.],27.0
3,3,[0. 1. 2.],27.0
3,3,[0. 2. 0.],30.0
3,3,[0. 2. 1.],27.0
3,3,[0. 2. 2.],27.0
3,3,[1. 0. 0.],27.0
3,3,[1. 0. 1.],30.0
3,3,[1. 0. 2.],27.0
3,3,[1. 1. 0.],30.0
3,3,[1. 1. 1.],39.0
3,3,[1. 1. 2.],30.0
3,3,[1. 2. 0.],27.0
3,3,[1. 2. 1.],30.0
3,3,[1. 2. 2.],27.0
3,3,[2. 0. 0.],27.0
3,3,[2. 0. 1.],27.0
3,3,[2. 0. 2.],30.0
3,3,[2. 1. 0.],27.0
3,3,[2. 1. 1.],27.0
3,3,[2. 1. 2.],30.0
3,3,[2. 2. 0.],30.0
3,3,[2. 2. 1.],30.0
3,3,[2. 2. 2.],39.0
3,4,[0. 0. 0. 0.],120.0
3,4,[0. 0. 0. 1.],93.0
3,4,[0. 0. 0. 2.],93.0
3,4,[0. 0. 1. 0.],87.0
3,4,[0. 0. 1. 1.],84.0
3,4,[0. 0. 1. 2.],84.0
3,4,[0. 0. 2. 0.],87.0
3,4,[0. 0. 2. 1.],84.0
3,4,[0. 0. 2. 2.],84.0
3,4,[0. 1. 0. 0.],87.0
3,4,[0. 1. 0. 1.],90.0
3,4,[0. 1. 0. 2.],84.0
3,4,[0. 1. 1. 0.],84.0
3,4,[0. 1. 1. 1.],81.0
3,4,[0. 1. 1. 2.],81.0
3,4,[0. 1. 2. 0.],84.0
3,4,[0. 1. 2. 1.],81.0
3,4,[0. 1. 2. 2.],81.0
3,4,[0. 2. 0. 0.],87.0
3,4,[0. 2. 0. 1.],84.0
3,4,[0. 2. 0. 2.],90.0
3,4,[0. 2. 1. 0.],84.0
3,4,[0. 2. 1. 1.],81.0
3,4,[0. 2. 1. 2.],81.0
3,4,[0. 2. 2. 0.],84.0
3,4,[0. 2. 2. 1.],81.0
3,4,[0. 2. 2. 2.],81.0
3,4,[1. 0. 0. 0.],81.0
3,4,[1. 0. 0. 1.],84.0
3,4,[1. 0. 0. 2.],81.0
3,4,[1. 0. 1. 0.],90.0
3,4,[1. 0. 1. 1.],87.0
3,4,[1. 0. 1. 2.],84.0
3,4,[1. 0. 2. 0.],81.0
3,4,[1. 0. 2. 1.],84.0
3,4,[1. 0. 2. 2.],81.0
3,4,[1. 1. 0. 0.],84.0
3,4,[1. 1. 0. 1.],87.0
3,4,[1. 1. 0. 2.],84.0
3,4,[1. 1. 1. 0.],93.0
3,4,[1. 1. 1. 1.],120.0
3,4,[1. 1. 1. 2.],93.0
3,4,[1. 1. 2. 0.],84.0
3,4,[1. 1. 2. 1.],87.0
3,4,[1. 1. 2. 2.],84.0
3,4,[1. 2. 0. 0.],81.0
3,4,[1. 2. 0. 1.],84.0
3,4,[1. 2. 0. 2.],81.0
3,4,[1. 2. 1. 0.],84.0
3,4,[1. 2. 1. 1.],87.0
3,4,[1. 2. 1. 2.],90.0
3,4,[1. 2. 2. 0.],81.0
3,4,[1. 2. 2. 1.],84.0
3,4,[1. 2. 2. 2.],81.0
3,4,[2. 0. 0. 0.],81.0
3,4,[2. 0. 0. 1.],81.0
3,4,[2. 0. 0. 2.],84.0
3,4,[2. 0. 1. 0.],81.0
3,4,[2. 0. 1. 1.],81.0
3,4,[2. 0. 1. 2.],84.0
3,4,[2. 0. 2. 0.],90.0
3,4,[2. 0. 2. 1.],84.0
3,4,[2. 0. 2. 2.],87.0
3,4,[2. 1. 0. 0.],81.0
3,4,[2. 1. 0. 1.],81.0
3,4,[2. 1. 0. 2.],84.0
3,4,[2. 1. 1. 0.],81.0
3,4,[2. 1. 1. 1.],81.0
3,4,[2. 1. 1. 2.],84.0
3,4,[2. 1. 2. 0.],84.0
3,4,[2. 1. 2. 1.],90.0
3,4,[2. 1. 2. 2.],87.0
3,4,[2. 2. 0. 0.],84.0
3,4,[2. 2. 0. 1.],84.0
3,4,[2. 2. 0. 2.],87.0
