number of characters,length of case,case,expected value
3,4,[2. 2. 1. 0.],84.0
3,4,[2. 2. 1. 1.],84.0
3,4,[2. 2. 1. 2.],87.0
3,4,[2. 2. 2. 0.],93.0
3,4,[2. 2. 2. 1.],93.0
3,4,[2. 2. 2. 2.],120.0
3,5,[0. 0. 0. 0. 0.],363.0
3,5,[0. 0. 0. 0. 1.],282.0
3,5,[0. 0. 0. 0. 2.],282.0
3,5,[0. 0. 0. 1. 0.],258.0
3,5,[0. 0. 0. 1. 1.],255.0
3,5,[0. 0. 0. 1. 2.],255.0
3,5,[0. 0. 0. 2. 0.],258.0
3,5,[0. 0. 0. 2. 1.],255.0
3,5,[0. 0. 0. 2. 2.],255.0
3,5,[0. 0. 1. 0. 0.],258.0
3,5,[0. 0. 1. 0. 1.],249.0
3,5,[0. 0. 1. 0. 2.],249.0
3,5,[0. 0. 1. 1. 0.],249.0
3,5,[0. 0. 1. 1. 1.],246.0
3,5,[0. 0. 1. 1. 2.],246.0
3,5,[0. 0. 1. 2. 0.],249.0
3,5,[0. 0. 1. 2. 1.],246.0
3,5,[0. 0. 1. 2. 2.],246.0
3,5,[0. 0. 2. 0. 0.],258.0
3,5,[0. 0. 2. 0. 1.],249.0
3,5,[0. 0. 2. 0. 2.],249.0
3,5,[0. 0. 2. 1. 0.],249.0
3,5,[0. 0. 2. 1. 1.],246.0
3,5,[0. 0. 2. 1. 2.],246.0
3,5,[0. 0. 2. 2. 0.],249.0
3,5,[0. 0. 2. 2. 1.],246.0
3,5,[0. 0. 2. 2. 2.],246.0
3,5,[0. 1. 0. 0. 0.],252.0
3,5,[0. 1. 0. 0. 1.],255.0
3,5,[0. 1. 0. 0. 2.],249.0
3,5,[0. 1. 0. 1. 0.],273.0
3,5,[0. 1. 0. 1. 1.],252.0
3,5,[0. 1. 0. 1. 2.],252.0
3,5,[0. 1. 0. 2. 0.],249.0
3,5,[0. 1. 0. 2. 1.],246.0
3,5,[0. 1. 0. 2. 2.],246.0
3,5,[0. 1. 1. 0. 0.],249.0
3,5,[0. 1. 1. 0. 1.],252.0
3,5,[0. 1. 1. 0. 2.],246.0
3,5,[0. 1. 1. 1. 0.],246.0
3,5,[0. 1. 1. 1. 1.],243.0
3,5,[0. 1. 1. 1. 2.],243.0
3,5,[0. 1. 1. 2. 0.],246.0
3,5,[0. 1. 1. 2. 1.],243.0
3,5,[0. 1. 1. 2. 2.],243.0
3,5,[0. 1. 2. 0. 0.],249.0
3,5,[0. 1. 2. 0. 1.],252.0
3,5,[0. 1. 2. 0. 2.],246.0
3,5,[0. 1. 2. 1. 0.],246.0
3,5,[0. 1. 2. 1. 1.],243.0
3,5,[0. 1. 2. 1. 2.],243.0
3,5,[0. 1. 2. 2. 0.],246.0
3,5,[0. 1. 2. 2. 1.],243.0
3,5,[0. 1. 2. 2. 2.],243.0
3,5,[0. 2. 0. 0. 0.],252.0
3,5,[0. 2. 0. 0. 1.],249.0
3,5,[0. 2. 0. 0. 2.],255.0
3,5,[0. 2. 0. 1. 0.],249.0
3,5,[0. 2. 0. 1. 1.],246.0
3,5,[0. 2. 0. 1. 2.],246.0
3,5,[0. 2. 0. 2. 0.],273.0
3,5,[0. 2. 0. 2. 1.],252.0
3,5,[0. 2. 0. 2. 2.],252.0
3,5,[0. 2. 1. 0. 0.],249.0
3,5,[0. 2. 1. 0. 1.],246.0
3,5,[0. 2. 1. 0. 2.],252.0
3,5,[0. 2. 1. 1. 0.],246.0
3,5,[0. 2. 1. 1. 1.],243.0
3,5,[0. 2. 1. 1. 2.],243.0
3,5,[0. 2. 1. 2. 0.],246.0
3,5,[0. 2. 1. 2. 1.],243.0
3,5,[0. 2. 1. 2. 2.],243.0
3,5,[0. 2. 2. 0. 0.],249.0
3,5,[0. 2. 2. 0. 1.],246.0
3,5,[0. 2. 2. 0. 2.],252.0
3,5,[0. 2. 2. 1. 0.],246.0
3,5,[0. 2. 2. 1. 1.],243.0
3,5,[0. 2. 2. 1. 2.],243.0
3,5,[0. 2. 2. 2. 0.],246.0
3,5,[0. 2. 2. 2. 1.],243.0
3,5,[0. 2. 2. 2. 2.],243.0
3,5,[1. 0. 0. 0. 0.],243.0
3,5,[1. 0. 0. 0. 1.],246.0
3,5,[1. 0. 0. 0. 2.],243.0
3,5,[1. 0. 0. 1. 0.],252.0
3,5,[1. 0. 0. 1. 1.],249.0
3,5,[1. 0. 0. 1. 2.],246.0
3,5,[1. 0. 0. 2. 0.],243.0
3,5,[1. 0. 0. 2. 1.],246.0
3,5,[1. 0. 0. 2. 2.],243.0
3,5,[1. 0. 1. 0. 0.],252.0
3,5,[1. 0. 1. 0. 1.],273.0
3,5,[1. 0. 1. 0. 2.],252.0
3,5,[1. 0. 1. 1. 0.],255.0
3,5,[1. 0. 1. 1. 1.],252.0
3,5,[1. 0. 1. 1. 2.],249.0
3,5,[1. 0. 1. 2. 0.],246.0
3,5,[1. 0. 1. 2. 1.],249.0
3,5,[1. 0. 1. 2. 2.],246.0
3,5,[1. 0. 2. 0. 0.],243.0
3,5,[1. 0. 2. 0. 1.],246.0
3,5,[1. 0. 2. 0. 2.],243.0
3,5,[1. 0. 2. 1. 0.],252.0
3,5,[1. 0. 2. 1. 1.],249.0
3,5,[1. 0. 2. 1. 2.],246.0
3,5,[1. 0. 2. 2. 0.],243.0
3,5,[1. 0. 2. 2. 1.],246.0
3,5,[1. 0. 2. 2. 2.],243.0
3,5,[1. 1. 0. 0. 0.],246.0
3,5,[1. 1. 0. 0. 1.],249.0
3,5,[1. 1. 0. 0. 2.],246.0
3,5,[1. 1. 0. 1. 0.],249.0
3,5,[1. 1. 0. 1. 1.],258.0
3,5,[1. 1. 0. 1. 2.],249.0
3,5,[1. 1. 0. 2. 0.],246.0
3,5,[1. 1. 0. 2. 1.],249.0
3,5,[1. 1. 0. 2. 2.],246.0
3,5,[1. 1. 1. 0. 0.],255.0
3,5,[1. 1. 1. 0. 1.],258.0
3,5,[1. 1. 1. 0. 2.],255.0
3,5,[1. 1. 1. 1. 0.],282.0
3,5,[1. 1. 1. 1. 1.],363.0
3,5,[1. 1. 1. 1. 2.],282.0
3,5,[1. 1. 1. 2. 0.],255.0
3,5,[1. 1. 1. 2. 1.],258.0
3,5,[1. 1. 1. 2. 2.],255.0
3,5,[1. 1. 2. 0. 0.],246.0
3,5,[1. 1. 2. 0. 1.],249.0
3,5,[1. 1. 2. 0. 2.],246.0
3,5,[1. 1. 2. 1. 0.],249.0
3,5,[1. 1. 2. 1. 1.],258.0
3,5,[1. 1. 2. 1. 2.],249.0
3,5,[1. 1. 2. 2. 0.],246.0
3,5,[1. 1. 2. 2. 1.],249.0
3,5,[1. 1. 2. 2. 2.],246.0
3,5,[1. 2. 0. 0. 0.],243.0
3,5,[1. 2. 0. 0. 1.],246.0
3,5,[1. 2. 0. 0. 2.],243.0
3,5,[1. 2. 0. 1. 0.],246.0
3,5,[1. 2. 0. 1. 1.],249.0
3,5,[1. 2. 0. 1. 2.],252.0
3,5,[1. 2. 0. 2. 0.],243.0
3,5,[1. 2. 0. 2. 1.],246.0
3,5,[1. 2. 0. 2. 2.],243.0
3,5,[1. 2. 1. 0. 0.],246.0
3,5,[1. 2. 1. 0. 1.],249.0
3,5,[1. 2. 1. 0. 2.],246.0
3,5,[1. 2. 1. 1. 0.],249.0
3,5,[1. 2. 1. 1. 1.],252.0
3,5,[1. 2. 1. 1. 2.],255.0
3,5,[1. 2. 1. 2. 0.],252.0
3,5,[1. 2. 1. 2. 1.],273.0
3,5,[1. 2. 1. 2. 2.],252.0
3,5,[1. 2. 2. 0. 0.],243.0
3,5,[1. 2. 2. 0. 1.],246.0
3,5,[1. 2. 2. 0. 2.],243.0
3,5,[1. 2. 2. 1. 0.],246.0
3,5,[1. 2. 2. 1. 1.],249.0
3,5,[1. 2. 2. 1. 2.],252.0
3,5,[1. 2. 2. 2. 0.],243.0
3,5,[1. 2. 2. 2. 1.],246.0
3,5,[1. 2. 2. 2. 2.],243.0
3,5,[2. 0. 0. 0. 0.],243.0
3,5,[2. 0. 0. 0. 1.],243.0
3,5,[2. 0. 0. 0. 2.],246.0
3,5,[2. 0. 0. 1. 0.],243.0
3,5,[2. 0. 0. 1. 1.],243.0
3,5,[2. 0. 0. 1. 2.],246.0
3,5,[2. 0. 0. 2. 0.],252.0
3,5,[2. 0. 0. 2. 1.],246.0
3,5,[2. 0. 0. 2. 2.],249.0
3,5,[2. 0. 1. 0. 0.],243.0
3,5,[2. 0. 1. 0. 1.],243.0
3,5,[2. 0. 1. 0. 2.],246.0
3,5,[2. 0. 1. 1. 0.],243.0
3,5,[2. 0. 1. 1. 1.],243.0
3,5,[2. 0. 1. 1. 2.],246.0
3,5,[2. 0. 1. 2. 0.],252.0
3,5,[2. 0. 1. 2. 1.],246.0
3,5,[2. 0. 1. 2. 2.],249.0
3,5,[2. 0. 2. 0. 0.],252.0
3,5,[2. 0. 2. 0. 1.],252.0
3,5,[2. 0. 2. 0. 2.],273.0
3,5,[2. 0. 2. 1. 0.],246.0
3,5,[2. 0. 2. 1. 1.],246.0
3,5,[2. 0. 2. 1. 2.],249.0
3,5,[2. 0. 2. 2. 0.],255.0
3,5,[2. 0. 2. 2. 1.],249.0
3,5,[2. 0. 2. 2. 2.],252.0
3,5,[2. 1. 0. 0. 0.],243.0
3,5,[2. 1. 0. 0. 1.],243.0
3,5,[2. 1. 0. 0. 2.],246.0
3,5,[2. 1. 0. 1. 0.],243.0
3,5,[2. 1. 0. 1. 1.],243.0
3,5,[2. 1. 0. 1. 2.],246.0
3,5,[2. 1. 0. 2. 0.],246.0
3,5,[2. 1. 0. 2. 1.],252.0
3,5,[2. 1. 0. 2. 2.],249.0
3,5,[2. 1. 1. 0. 0.],243.0
3,5,[2. 1. 1. 0. 1.],243.0
3,5,[2. 1. 1. 0. 2.],246.0
3,5,[2. 1. 1. 1. 0.],243.0
3,5,[2. 1. 1. 1. 1.],243.0
3,5,[2. 1. 1. 1. 2.],246.0
3,5,[2. 1. 1. 2. 0.],246.0
3,5,[2. 1. 1. 2. 1.],252.0
3,5,[2. 1. 1. 2. 2.],249.0
3,5,[2. 1. 2. 0. 0.],246.0
3,5,[2. 1. 2. 0. 1.],246.0
3,5,[2. 1. 2. 0. 2.],249.0
3,5,[2. 1. 2. 1. 0.],252.0
3,5,[2. 1. 2. 1. 1.],252.0
3,5,[2. 1. 2. 1. 2.],273.0
3,5,[2. 1. 2. 2. 0.],249.0
3,5,[2. 1. 2. 2. 1.],255.0
3,5,[2. 1. 2. 2. 2.],252.0
3,5,[2. 2. 0. 0. 0.],246.0
3,5,[2. 2. 0. 0. 1.],246.0
3,5,[2. 2. 0. 0. 2.],249.0
3,5,[2. 2. 0. 1. 0.],246.0
3,5,[2. 2. 0. 1. 1.],246.0
3,5,[2. 2. 0. 1. 2.],249.0
3,5,[2. 2. 0. 2. 0.],249.0
3,5,[2. 2. 0. 2. 1.],249.0
3,5,[2. 2. 0. 2. 2.],258.0
3,5,[2. 2. 1. 0. 0.],246.0
3,5,[2. 2. 1. 0. 1.],246.0
3,5,[2. 2. 1. 0. 2.],249.0
3,5,[2. 2. 1. 1. 0.],246.0
3,5,[2. 2. 1. 1. 1.],246.0
3,5,[2. 2. 1. 1. 2.],249.0
3,5,[2. 2. 1. 2. 0.],249.0
3,5,[2. 2. 1. 2. 1.],249.0
3,5,[2. 2. 1. 2. 2.],258.0
3,5,[2. 2. 2. 0. 0.],255.0
3,5,[2. 2. 2. 0. 1.],255.0
3,5,[2. 2. 2. 0. 2.],258.0
3,5,[2. 2. 2. 1. 0.],255.0
3,5,[2. 2. 2. 1. 1.],255.0
3,5,[2. 2. 2. 1. 2.],258.0
3,5,[2. 2. 2. 2. 0.],282.0
3,5,[2. 2. 2. 2. 1.],282.0
3,5,[2. 2. 2. 2. 2.],363.0
3,6,[0. 0. 0. 0. 0. 0.],1092.0
3,6,[0. 0. 0. 0. 0. 1.],849.0
3,6,[0. 0. 0. 0. 0. 2.],849.0
3,6,[0. 0. 0. 0. 1. 0.],771.0
3,6,[0. 0. 0. 0. 1. 1.],768.0
3,6,[0. 0. 0. 0. 1. 2.],768.0
3,6,[0. 0. 0. 0. 2. 0.],771.0
3,6,[0. 0. 0. 0. 2. 1.],768.0
3,6,[0. 0. 0. 0. 2. 2.],768.0
3,6,[0. 0. 0. 1. 0. 0.],753.0
3,6,[0. 0. 0. 1. 0. 1.],744.0
3,6,[0. 0. 0. 1. 0. 2.],744.0
3,6,[0. 0. 0. 1. 1. 0.],744.0
3,6,[0. 0. 0. 1. 1. 1.],741.0
3,6,[0. 0. 0. 1. 1. 2.],741.0
3,6,[0. 0. 0. 1. 2. 0.],744.0
3,6,[0. 0. 0. 1. 2. 1.],741.0
3,6,[0. 0. 0. 1. 2. 2.],741.0
3,6,[0. 0. 0. 2. 0. 0.],753.0
3,6,[0. 0. 0. 2. 0. 1.],744.0
3,6,[0. 0. 0. 2. 0. 2.],744.0
3,6,[0. 0. 0. 2. 1. 0.],744.0
3,6,[0. 0. 0. 2. 1. 1.],741.0
3,6,[0. 0. 0. 2. 1. 2.],741.0
3,6,[0. 0. 0. 2. 2. 0.],744.0
3,6,[0. 0. 0. 2. 2. 1.],741.0
3,6,[0. 0. 0. 2. 2. 2.],741.0
3,6,[0. 0. 1. 0. 0. 0.],753.0
3,6,[0. 0. 1. 0. 0. 1.],762.0
3,6,[0. 0. 1. 0. 0. 2.],744.0
3,6,[0. 0. 1. 0. 1. 0.],738.0
3,6,[0. 0. 1. 0. 1. 1.],735.0
3,6,[0. 0. 1. 0. 1. 2.],735.0
3,6,[0. 0. 1. 0. 2. 0.],738.0
3,6,[0. 0. 1. 0. 2. 1.],735.0
3,6,[0. 0. 1. 0. 2. 2.],735.0
3,6,[0. 0. 1. 1. 0. 0.],744.0
3,6,[0. 0. 1. 1. 0. 1.],735.0
3,6,[0. 0. 1. 1. 0. 2.],735.0
3,6,[0. 0. 1. 1. 1. 0.],735.0
3,6,[0. 0. 1. 1. 1. 1.],732.0
3,6,[0. 0. 1. 1. 1. 2.],732.0
3,6,[0. 0. 1. 1. 2. 0.],735.0
3,6,[0. 0. 1. 1. 2. 1.],732.0
3,6,[0. 0. 1. 1. 2. 2.],732.0
3,6,[0. 0. 1. 2. 0. 0.],744.0
3,6,[0. 0. 1. 2. 0. 1.],735.0
3,6,[0. 0. 1. 2. 0. 2.],735.0
3,6,[0. 0. 1. 2. 1. 0.],735.0
3,6,[0. 0. 1. 2. 1. 1.],732.0
3,6,[0. 0. 1. 2. 1. 2.],732.0
3,6,[0. 0. 1. 2. 2. 0.],735.0
3,6,[0. 0. 1. 2. 2. 1.],732.0
3,6,[0. 0. 1. 2. 2. 2.],732.0
3,6,[0. 0. 2. 0. 0. 0.],753.0
3,6,[0. 0. 2. 0. 0. 1.],744.0
3,6,[0. 0. 2. 0. 0. 2.],762.0
3,6,[0. 0. 2. 0. 1. 0.],738.0
3,6,[0. 0. 2. 0. 1. 1.],735.0
3,6,[0. 0. 2. 0. 1. 2.],735.0
3,6,[0. 0. 2. 0. 2. 0.],738.0
3,6,[0. 0. 2. 0. 2. 1.],735.0
3,6,[0. 0. 2. 0. 2. 2.],735.0
3,6,[0. 0. 2. 1. 0. 0.],744.0
3,6,[0. 0. 2. 1. 0. 1.],735.0
3,6,[0. 0. 2. 1. 0. 2.],735.0
3,6,[0. 0. 2. 1. 1. 0.],735.0
3,6,[0. 0. 2. 1. 1. 1.],732.0
3,6,[0. 0. 2. 1. 1. 2.],732.0
3,6,[0. 0. 2. 1. 2. 0.],735.0
3,6,[0. 0. 2. 1. 2. 1.],732.0
3,6,[0. 0. 2. 1. 2. 2.],732.0
3,6,[0. 0. 2. 2. 0. 0.],744.0
3,6,[0. 0. 2. 2. 0. 1.],735.0
3,6,[0. 0. 2. 2. 0. 2.],735.0
3,6,[0. 0. 2. 2. 1. 0.],735.0
3,6,[0. 0. 2. 2. 1. 1.],732.0
3,6,[0. 0. 2. 2. 1. 2.],732.0
3,6,[0. 0. 2. 2. 2. 0.],735.0
3,6,[0. 0. 2. 2. 2. 1.],732.0
3,6,[0. 0. 2. 2. 2. 2.],732.0
3,6,[0. 1. 0. 0. 0. 0.],741.0
3,6,[0. 1. 0. 0. 0. 1.],744.0
3,6,[0. 1. 0. 0. 0. 2.],738.0
3,6,[0. 1. 0. 0. 1. 0.],762.0
3,6,[0. 1. 0. 0. 1. 1.],741.0
3,6,[0. 1. 0. 0. 1. 2.],741.0
3,6,[0. 1. 0. 0. 2. 0.],738.0
3,6,[0. 1. 0. 0. 2. 1.],735.0
3,6,[0. 1. 0. 0. 2. 2.],735.0
3,6,[0. 1. 0. 1. 0. 0.],762.0
3,6,[0. 1. 0. 1. 0. 1.],819.0
3,6,[0. 1. 0. 1. 0. 2.],759.0
3,6,[0. 1. 0. 1. 1. 0.],741.0
3,6,[0. 1. 0. 1. 1. 1.],738.0
3,6,[0. 1. 0. 1. 1. 2.],738.0
3,6,[0. 1. 0. 1. 2. 0.],741.0
3,6,[0. 1. 0. 1. 2. 1.],738.0
3,6,[0. 1. 0. 1. 2. 2.],738.0
3,6,[0. 1. 0. 2. 0. 0.],738.0
3,6,[0. 1. 0. 2. 0. 1.],741.0
3,6,[0. 1. 0. 2. 0. 2.],735.0
3,6,[0. 1. 0. 2. 1. 0.],735.0
3,6,[0. 1. 0. 2. 1. 1.],732.0
3,6,[0. 1. 0. 2. 1. 2.],732.0
3,6,[0. 1. 0. 2. 2. 0.],735.0
3,6,[0. 1. 0. 2. 2. 1.],732.0
3,6,[0. 1. 0. 2. 2. 2.],732.0
3,6,[0. 1. 1. 0. 0. 0.],738.0
3,6,[0. 1. 1. 0. 0. 1.],741.0
3,6,[0. 1. 1. 0. 0. 2.],735.0
3,6,[0. 1. 1. 0. 1. 0.],741.0
3,6,[0. 1. 1. 0. 1. 1.],756.0
3,6,[0. 1. 1. 0. 1. 2.],738.0
3,6,[0. 1. 1. 0. 2. 0.],735.0
3,6,[0. 1. 1. 0. 2. 1.],732.0
3,6,[0. 1. 1. 0. 2. 2.],732.0
3,6,[0. 1. 1. 1. 0. 0.],735.0
3,6,[0. 1. 1. 1. 0. 1.],738.0
3,6,[0. 1. 1. 1. 0. 2.],732.0
3,6,[0. 1. 1. 1. 1. 0.],732.0
3,6,[0. 1. 1. 1. 1. 1.],729.0
3,6,[0. 1. 1. 1. 1. 2.],729.0
3,6,[0. 1. 1. 1. 2. 0.],732.0
3,6,[0. 1. 1. 1. 2. 1.],729.0
3,6,[0. 1. 1. 1. 2. 2.],729.0
3,6,[0. 1. 1. 2. 0. 0.],735.0
3,6,[0. 1. 1. 2. 0. 1.],738.0
3,6,[0. 1. 1. 2. 0. 2.],732.0
3,6,[0. 1. 1. 2. 1. 0.],732.0
3,6,[0. 1. 1. 2. 1. 1.],729.0
3,6,[0. 1. 1. 2. 1. 2.],729.0
3,6,[0. 1. 1. 2. 2. 0.],732.0
3,6,[0. 1. 1. 2. 2. 1.],729.0
3,6,[0. 1. 1. 2. 2. 2.],729.0
3,6,[0. 1. 2. 0. 0. 0.],738.0
3,6,[0. 1. 2. 0. 0. 1.],741.0
3,6,[0. 1. 2. 0. 0. 2.],735.0
3,6,[0. 1. 2. 0. 1. 0.],741.0
3,6,[0. 1. 2. 0. 1. 1.],738.0
3,6,[0. 1. 2. 0. 1. 2.],756.0
3,6,[0. 1. 2. 0. 2. 0.],735.0
3,6,[0. 1. 2. 0. 2. 1.],732.0
3,6,[0. 1. 2. 0. 2. 2.],732.0
3,6,[0. 1. 2. 1. 0. 0.],735.0
3,6,[0. 1. 2. 1. 0. 1.],738.0
3,6,[0. 1. 2. 1. 0. 2.],732.0
3,6,[0. 1. 2. 1. 1. 0.],732.0
3,6,[0. 1. 2. 1. 1. 1.],729.0
3,6,[0. 1. 2. 1. 1. 2.],729.0
3,6,[0. 1. 2. 1. 2. 0.],732.0
3,6,[0. 1. 2. 1. 2. 1.],729.0
3,6,[0. 1. 2. 1. 2. 2.],729.0
3,6,[0. 1. 2. 2. 0. 0.],735.0
3,6,[0. 1. 2. 2. 0. 1.],738.0
3,6,[0. 1. 2. 2. 0. 2.],732.0
3,6,[0. 1. 2. 2. 1. 0.],732.0
3,6,[0. 1. 2. 2. 1. 1.],729.0
3,6,[0. 1. 2. 2. 1. 2.],729.0
3,6,[0. 1. 2. 2. 2. 0.],732.0
3,6,[0. 1. 2. 2. 2. 1.],729.0
3,6,[0. 1. 2. 2. 2. 2.],729.0
3,6,[0. 2. 0. 0. 0. 0.],741.0
3,6,[0. 2. 0. 0. 0. 1.],738.0
3,6,[0. 2. 0. 0. 0. 2.],744.0
3,6,[0. 2. 0. 0. 1. 0.],738.0
3,6,[0. 2. 0. 0. 1. 1.],735.0
3,6,[0. 2. 0. 0. 1. 2.],735.0
3,6,[0. 2. 0. 0. 2. 0.],762.0
3,6,[0. 2. 0. 0. 2. 1.],741.0
3,6,[0. 2. 0. 0. 2. 2.],741.0
3,6,[0. 2. 0. 1. 0. 0.],738.0
3,6,[0. 2. 0. 1. 0. 1.],735.0
3,6,[0. 2. 0. 1. 0. 2.],741.0
3,6,[0. 2. 0. 1. 1. 0.],735.0
3,6,[0. 2. 0. 1. 1. 1.],732.0
3,6,[0. 2. 0. 1. 1. 2.],732.0
3,6,[0. 2. 0. 1. 2. 0.],735.0
3,6,[0. 2. 0. 1. 2. 1.],732.0
3,6,[0. 2. 0. 1. 2. 2.],732.0
3,6,[0. 2. 0. 2. 0. 0.],762.0
3,6,[0. 2. 0. 2. 0. 1.],759.0
3,6,[0. 2. 0. 2. 0. 2.],819.0
3,6,[0. 2. 0. 2. 1. 0.],741.0
3,6,[0. 2. 0. 2. 1. 1.],738.0
3,6,[0. 2. 0. 2. 1. 2.],738.0
3,6,[0. 2. 0. 2. 2. 0.],741.0
3,6,[0. 2. 0. 2. 2. 1.],738.0
3,6,[0. 2. 0. 2. 2. 2.],738.0
3,6,[0. 2. 1. 0. 0. 0.],738.0
3,6,[0. 2. 1. 0. 0. 1.],735.0
3,6,[0. 2. 1. 0. 0. 2.],741.0
3,6,[0. 2. 1. 0. 1. 0.],735.0
3,6,[0. 2. 1. 0. 1. 1.],732.0
3,6,[0. 2. 1. 0. 1. 2.],732.0
3,6,[0. 2. 1. 0. 2. 0.],741.0
3,6,[0. 2. 1. 0. 2. 1.],756.0
3,6,[0. 2. 1. 0. 2. 2.],738.0
3,6,[0. 2. 1. 1. 0. 0.],735.0
3,6,[0. 2. 1. 1. 0. 1.],732.0
3,6,[0. 2. 1. 1. 0. 2.],738.0
3,6,[0. 2. 1. 1. 1. 0.],732.0
3,6,[0. 2. 1. 1. 1. 1.],729.0
3,6,[0. 2. 1. 1. 1. 2.],729.0
3,6,[0. 2. 1. 1. 2. 0.],732.0
3,6,[0. 2. 1. 1. 2. 1.],729.0
3,6,[0. 2. 1. 1. 2. 2.],729.0
3,6,[0. 2. 1. 2. 0. 0.],735.0
3,6,[0. 2. 1. 2. 0. 1.],732.0
3,6,[0. 2. 1. 2. 0. 2.],738.0
3,6,[0. 2. 1. 2. 1. 0.],732.0
3,6,[0. 2. 1. 2. 1. 1.],729.0
3,6,[0. 2. 1. 2. 1. 2.],729.0
3,6,[0. 2. 1. 2. 2. 0.],732.0
3,6,[0. 2. 1. 2. 2. 1.],729.0
