number of characters,length of case,case,expected value
6,2,[0. 0.],42.0
6,2,[0. 1.],36.0
6,2,[0. 2.],36.0
6,2,[0. 3.],36.0
6,2,[0. 4.],36.0
6,2,[0. 5.],36.0
6,2,[1. 0.],36.0
6,2,[1. 1.],42.0
6,2,[1. 2.],36.0
6,2,[1. 3.],36.0
6,2,[1. 4.],36.0
6,2,[1. 5.],36.0
6,2,[2. 0.],36.0
6,2,[2. 1.],36.0
6,2,[2. 2.],42.0
6,2,[2. 3.],36.0
6,2,[2. 4.],36.0
6,2,[2. 5.],36.0
6,2,[3. 0.],36.0
6,2,[3. 1.],36.0
6,2,[3. 2.],36.0
6,2,[3. 3.],42.0
6,2,[3. 4.],36.0
6,2,[3. 5.],36.0
6,2,[4. 0.],36.0
6,2,[4. 1.],36.0
6,2,[4. 2.],36.0
6,2,[4. 3.],36.0
6,2,[4. 4.],42.0
6,2,[4. 5.],36.0
6,2,[5. 0.],36.0
6,2,[5. 1.],36.0
6,2,[5. 2.],36.0
6,2,[5. 3.],36.0
6,2,[5. 4.],36.0
6,2,[5. 5.],42.0
6,3,[0. 0. 0.],258.0
6,3,[0. 0. 1.],222.0
6,3,[0. 0. 2.],222.0
6,3,[0. 0. 3.],222.0
6,3,[0. 0. 4.],222.0
6,3,[0. 0. 5.],222.0
6,3,[0. 1. 0.],222.0
6,3,[0. 1. 1.],216.0
6,3,[0. 1. 2.],216.0
6,3,[0. 1. 3.],216.0
6,3,[0. 1. 4.],216.0
6,3,[0. 1. 5.],216.0
6,3,[0. 2. 0.],222.0
6,3,[0. 2. 1.],216.0
6,3,[0. 2. 2.],216.0
6,3,[0. 2. 3.],216.0
6,3,[0. 2. 4.],216.0
6,3,[0. 2. 5.],216.0
6,3,[0. 3. 0.],222.0
6,3,[0. 3. 1.],216.0
6,3,[0. 3. 2.],216.0
6,3,[0. 3. 3.],216.0
6,3,[0. 3. 4.],216.0
6,3,[0. 3. 5.],216.0
6,3,[0. 4. 0.],222.0
6,3,[0. 4. 1.],216.0
6,3,[0. 4. 2.],216.0
6,3,[0. 4. 3.],216.0
6,3,[0. 4. 4.],216.0
6,3,[0. 4. 5.],216.0
6,3,[0. 5. 0.],222.0
6,3,[0. 5. 1.],216.0
6,3,[0. 5. 2.],216.0
6,3,[0. 5. 3.],216.0
6,3,[0. 5. 4.],216.0
6,3,[0. 5. 5.],216.0
6,3,[1. 0. 0.],216.0
6,3,[1. 0. 1.],222.0
