number of characters,length of case,case,expected value
4,2,[0. 0.],20.0
4,2,[0. 1.],16.0
4,2,[0. 2.],16.0
4,2,[0. 3.],16.0
4,2,[1. 0.],16.0
4,2,[1. 1.],20.0
4,2,[1. 2.],16.0
4,2,[1. 3.],16.0
4,2,[2. 0.],16.0
4,2,[2. 1.],16.0
4,2,[2. 2.],20.0
4,2,[2. 3.],16.0
4,2,[3. 0.],16.0
4,2,[3. 1.],16.0
4,2,[3. 2.],16.0
4,2,[3. 3.],20.0
4,3,[0. 0. 0.],84.0
4,3,[0. 0. 1.],68.0
4,3,[0. 0. 2.],68.0
4,3,[0. 0. 3.],68.0
4,3,[0. 1. 0.],68.0
4,3,[0. 1. 1.],64.0
4,3,[0. 1. 2.],64.0
4,3,[0. 1. 3.],64.0
4,3,[0. 2. 0.],68.0
4,3,[0. 2. 1.],64.0
4,3,[0. 2. 2.],64.0
4,3,[0. 2. 3.],64.0
4,3,[0. 3. 0.],68.0
4,3,[0. 3. 1.],64.0
4,3,[0. 3. 2.],64.0
4,3,[0. 3. 3.],64.0
4,3,[1. 0. 0.],64.0
4,3,[1. 0. 1.],68.0
4,3,[1. 0. 2.],64.0
4,3,[1. 0. 3.],64.0
4,3,[1. 1. 0.],68.0
4,3,[1. 1. 1.],84.0
4,3,[1. 1. 2.],68.0
4,3,[1. 1. 3.],68.0
4,3,[1. 2. 0.],64.0
4,3,[1. 2. 1.],68.0
4,3,[1. 2. 2.],64.0
4,3,[1. 2. 3.],64.0
4,3,[1. 3. 0.],64.0
4,3,[1. 3. 1.],68.0
4,3,[1. 3. 2.],64.0
4,3,[1. 3. 3.],64.0
4,3,[2. 0. 0.],64.0
4,3,[2. 0. 1.],64.0
4,3,[2. 0. 2.],68.0
4,3,[2. 0. 3.],64.0
4,3,[2. 1. 0.],64.0
4,3,[2. 1. 1.],64.0
4,3,[2. 1. 2.],68.0
4,3,[2. 1. 3.],64.0
4,3,[2. 2. 0.],68.0
4,3,[2. 2. 1.],68.0
4,3,[2. 2. 2.],84.0
4,3,[2. 2. 3.],68.0
4,3,[2. 3. 0.],64.0
4,3,[2. 3. 1.],64.0
4,3,[2. 3. 2.],68.0
4,3,[2. 3. 3.],64.0
4,3,[3. 0. 0.],64.0
4,3,[3. 0. 1.],64.0
4,3,[3. 0. 2.],64.0
4,3,[3. 0. 3.],68.0
4,3,[3. 1. 0.],64.0
4,3,[3. 1. 1.],64.0
4,3,[3. 1. 2.],64.0
4,3,[3. 1. 3.],68.0
4,3,[3. 2. 0.],64.0
4,3,[3. 2. 1.],64.0
4,3,[3. 2. 2.],64.0
4,3,[3. 2. 3.],68.0
4,3,[3. 3. 0.],68.0
4,3,[3. 3. 1.],68.0
4,3,[3. 3. 2.],68.0
4,3,[3. 3. 3.],84.0
4,4,[0. 0. 0. 0.],340.0
4,4,[0. 0. 0. 1.],276.0
4,4,[0. 0. 0. 2.],276.0
4,4,[0. 0. 0. 3.],276.0
4,4,[0. 0. 1. 0.],264.0
4,4,[0. 0. 1. 1.],260.0
4,4,[0. 0. 1. 2.],260.0
4,4,[0. 0. 1. 3.],260.0
4,4,[0. 0. 2. 0.],264.0
4,4,[0. 0. 2. 1.],260.0
4,4,[0. 0. 2. 2.],260.0
4,4,[0. 0. 2. 3.],260.0
4,4,[0. 0. 3. 0.],264.0
4,4,[0. 0. 3. 1.],260.0
4,4,[0. 0. 3. 2.],260.0
4,4,[0. 0. 3. 3.],260.0
4,4,[0. 1. 0. 0.],264.0
4,4,[0. 1. 0. 1.],272.0
4,4,[0. 1. 0. 2.],260.0
4,4,[0. 1. 0. 3.],260.0
4,4,[0. 1. 1. 0.],260.0
4,4,[0. 1. 1. 1.],256.0
4,4,[0. 1. 1. 2.],256.0
4,4,[0. 1. 1. 3.],256.0
4,4,[0. 1. 2. 0.],260.0
4,4,[0. 1. 2. 1.],256.0
4,4,[0. 1. 2. 2.],256.0
4,4,[0. 1. 2. 3.],256.0
4,4,[0. 1. 3. 0.],260.0
4,4,[0. 1. 3. 1.],256.0
4,4,[0. 1. 3. 2.],256.0
4,4,[0. 1. 3. 3.],256.0
4,4,[0. 2. 0. 0.],264.0
4,4,[0. 2. 0. 1.],260.0
4,4,[0. 2. 0. 2.],272.0
4,4,[0. 2. 0. 3.],260.0
4,4,[0. 2. 1. 0.],260.0
4,4,[0. 2. 1. 1.],256.0
4,4,[0. 2. 1. 2.],256.0
4,4,[0. 2. 1. 3.],256.0
4,4,[0. 2. 2. 0.],260.0
4,4,[0. 2. 2. 1.],256.0
4,4,[0. 2. 2. 2.],256.0
4,4,[0. 2. 2. 3.],256.0
4,4,[0. 2. 3. 0.],260.0
4,4,[0. 2. 3. 1.],256.0
4,4,[0. 2. 3. 2.],256.0
4,4,[0. 2. 3. 3.],256.0
4,4,[0. 3. 0. 0.],264.0
4,4,[0. 3. 0. 1.],260.0
4,4,[0. 3. 0. 2.],260.0
4,4,[0. 3. 0. 3.],272.0
4,4,[0. 3. 1. 0.],260.0
4,4,[0. 3. 1. 1.],256.0
4,4,[0. 3. 1. 2.],256.0
4,4,[0. 3. 1. 3.],256.0
4,4,[0. 3. 2. 0.],260.0
4,4,[0. 3. 2. 1.],256.0
4,4,[0. 3. 2. 2.],256.0
4,4,[0. 3. 2. 3.],256.0
4,4,[0. 3. 3. 0.],260.0
4,4,[0. 3. 3. 1.],256.0
4,4,[0. 3. 3. 2.],256.0
4,4,[0. 3. 3. 3.],256.0
4,4,[1. 0. 0. 0.],256.0
4,4,[1. 0. 0. 1.],260.0
4,4,[1. 0. 0. 2.],256.0
4,4,[1. 0. 0. 3.],256.0
4,4,[1. 0. 1. 0.],272.0
4,4,[1. 0. 1. 1.],264.0
4,4,[1. 0. 1. 2.],260.0
4,4,[1. 0. 1. 3.],260.0
4,4,[1. 0. 2. 0.],256.0
4,4,[1. 0. 2. 1.],260.0
4,4,[1. 0. 2. 2.],256.0
4,4,[1. 0. 2. 3.],256.0
4,4,[1. 0. 3. 0.],256.0
4,4,[1. 0. 3. 1.],260.0
4,4,[1. 0. 3. 2.],256.0
4,4,[1. 0. 3. 3.],256.0
4,4,[1. 1. 0. 0.],260.0
4,4,[1. 1. 0. 1.],264.0
4,4,[1. 1. 0. 2.],260.0
4,4,[1. 1. 0. 3.],260.0
4,4,[1. 1. 1. 0.],276.0
4,4,[1. 1. 1. 1.],340.0
4,4,[1. 1. 1. 2.],276.0
4,4,[1. 1. 1. 3.],276.0
4,4,[1. 1. 2. 0.],260.0
4,4,[1. 1. 2. 1.],264.0
4,4,[1. 1. 2. 2.],260.0
4,4,[1. 1. 2. 3.],260.0
4,4,[1. 1. 3. 0.],260.0
4,4,[1. 1. 3. 1.],264.0
4,4,[1. 1. 3. 2.],260.0
4,4,[1. 1. 3. 3.],260.0
4,4,[1. 2. 0. 0.],256.0
4,4,[1. 2. 0. 1.],260.0
4,4,[1. 2. 0. 2.],256.0
4,4,[1. 2. 0. 3.],256.0
4,4,[1. 2. 1. 0.],260.0
4,4,[1. 2. 1. 1.],264.0
4,4,[1. 2. 1. 2.],272.0
4,4,[1. 2. 1. 3.],260.0
4,4,[1. 2. 2. 0.],256.0
4,4,[1. 2. 2. 1.],260.0
4,4,[1. 2. 2. 2.],256.0
4,4,[1. 2. 2. 3.],256.0
4,4,[1. 2. 3. 0.],256.0
4,4,[1. 2. 3. 1.],260.0
4,4,[1. 2. 3. 2.],256.0
4,4,[1. 2. 3. 3.],256.0
4,4,[1. 3. 0. 0.],256.0
4,4,[1. 3. 0. 1.],260.0
4,4,[1. 3. 0. 2.],256.0
4,4,[1. 3. 0. 3.],256.0
4,4,[1. 3. 1. 0.],260.0
4,4,[1. 3. 1. 1.],264.0
4,4,[1. 3. 1. 2.],260.0
4,4,[1. 3. 1. 3.],272.0
4,4,[1. 3. 2. 0.],256.0
4,4,[1. 3. 2. 1.],260.0
4,4,[1. 3. 2. 2.],256.0
4,4,[1. 3. 2. 3.],256.0
4,4,[1. 3. 3. 0.],256.0
4,4,[1. 3. 3. 1.],260.0
4,4,[1. 3. 3. 2.],256.0
4,4,[1. 3. 3. 3.],256.0
4,4,[2. 0. 0. 0.],256.0
4,4,[2. 0. 0. 1.],256.0
4,4,[2. 0. 0. 2.],260.0
4,4,[2. 0. 0. 3.],256.0
4,4,[2. 0. 1. 0.],256.0
4,4,[2. 0. 1. 1.],256.0
4,4,[2. 0. 1. 2.],260.0
4,4,[2. 0. 1. 3.],256.0
4,4,[2. 0. 2. 0.],272.0
4,4,[2. 0. 2. 1.],260.0
4,4,[2. 0. 2. 2.],264.0
4,4,[2. 0. 2. 3.],260.0
4,4,[2. 0. 3. 0.],256.0
4,4,[2. 0. 3. 1.],256.0
4,4,[2. 0. 3. 2.],260.0
4,4,[2. 0. 3. 3.],256.0
4,4,[2. 1. 0. 0.],256.0
4,4,[2. 1. 0. 1.],256.0
4,4,[2. 1. 0. 2.],260.0
4,4,[2. 1. 0. 3.],256.0
4,4,[2. 1. 1. 0.],256.0
4,4,[2. 1. 1. 1.],256.0
4,4,[2. 1. 1. 2.],260.0
4,4,[2. 1. 1. 3.],256.0
4,4,[2. 1. 2. 0.],260.0
4,4,[2. 1. 2. 1.],272.0
4,4,[2. 1. 2. 2.],264.0
4,4,[2. 1. 2. 3.],260.0
4,4,[2. 1. 3. 0.],256.0
4,4,[2. 1. 3. 1.],256.0
4,4,[2. 1. 3. 2.],260.0
4,4,[2. 1. 3. 3.],256.0
4,4,[2. 2. 0. 0.],260.0
4,4,[2. 2. 0. 1.],260.0
4,4,[2. 2. 0. 2.],264.0
4,4,[2. 2. 0. 3.],260.0
4,4,[2. 2. 1. 0.],260.0
4,4,[2. 2. 1. 1.],260.0
4,4,[2. 2. 1. 2.],264.0
4,4,[2. 2. 1. 3.],260.0
4,4,[2. 2. 2. 0.],276.0
4,4,[2. 2. 2. 1.],276.0
4,4,[2. 2. 2. 2.],340.0
4,4,[2. 2. 2. 3.],276.0
4,4,[2. 2. 3. 0.],260.0
4,4,[2. 2. 3. 1.],260.0
4,4,[2. 2. 3. 2.],264.0
4,4,[2. 2. 3. 3.],260.0
4,4,[2. 3. 0. 0.],256.0
4,4,[2. 3. 0. 1.],256.0
4,4,[2. 3. 0. 2.],260.0
4,4,[2. 3. 0. 3.],256.0
4,4,[2. 3. 1. 0.],256.0
4,4,[2. 3. 1. 1.],256.0
4,4,[2. 3. 1. 2.],260.0
4,4,[2. 3. 1. 3.],256.0
4,4,[2. 3. 2. 0.],260.0
4,4,[2. 3. 2. 1.],260.0
4,4,[2. 3. 2. 2.],264.0
4,4,[2. 3. 2. 3.],272.0
4,4,[2. 3. 3. 0.],256.0
4,4,[2. 3. 3. 1.],256.0
4,4,[2. 3. 3. 2.],260.0
4,4,[2. 3. 3. 3.],256.0
4,4,[3. 0. 0. 0.],256.0
4,4,[3. 0. 0. 1.],256.0
4,4,[3. 0. 0. 2.],256.0
4,4,[3. 0. 0. 3.],260.0
4,4,[3. 0. 1. 0.],256.0
4,4,[3. 0. 1. 1.],256.0
4,4,[3. 0. 1. 2.],256.0
4,4,[3. 0. 1. 3.],260.0
4,4,[3. 0. 2. 0.],256.0
4,4,[3. 0. 2. 1.],256.0
4,4,[3. 0. 2. 2.],256.0
4,4,[3. 0. 2. 3.],260.0
4,4,[3. 0. 3. 0.],272.0
4,4,[3. 0. 3. 1.],260.0
4,4,[3. 0. 3. 2.],260.0
4,4,[3. 0. 3. 3.],264.0
4,4,[3. 1. 0. 0.],256.0
4,4,[3. 1. 0. 1.],256.0
4,4,[3. 1. 0. 2.],256.0
4,4,[3. 1. 0. 3.],260.0
4,4,[3. 1. 1. 0.],256.0
4,4,[3. 1. 1. 1.],256.0
4,4,[3. 1. 1. 2.],256.0
4,4,[3. 1. 1. 3.],260.0
4,4,[3. 1. 2. 0.],256.0
4,4,[3. 1. 2. 1.],256.0
4,4,[3. 1. 2. 2.],256.0
4,4,[3. 1. 2. 3.],260.0
4,4,[3. 1. 3. 0.],260.0
4,4,[3. 1. 3. 1.],272.0
4,4,[3. 1. 3. 2.],260.0
4,4,[3. 1. 3. 3.],264.0
4,4,[3. 2. 0. 0.],256.0
4,4,[3. 2. 0. 1.],256.0
4,4,[3. 2. 0. 2.],256.0
4,4,[3. 2. 0. 3.],260.0
4,4,[3. 2. 1. 0.],256.0
4,4,[3. 2. 1. 1.],256.0
4,4,[3. 2. 1. 2.],256.0
4,4,[3. 2. 1. 3.],260.0
4,4,[3. 2. 2. 0.],256.0
4,4,[3. 2. 2. 1.],256.0
4,4,[3. 2. 2. 2.],256.0
4,4,[3. 2. 2. 3.],260.0
4,4,[3. 2. 3. 0.],260.0
4,4,[3. 2. 3. 1.],260.0
4,4,[3. 2. 3. 2.],272.0
4,4,[3. 2. 3. 3.],264.0
4,4,[3. 3. 0. 0.],260.0
4,4,[3. 3. 0. 1.],260.0
4,4,[3. 3. 0. 2.],260.0
4,4,[3. 3. 0. 3.],264.0
4,4,[3. 3. 1. 0.],260.0
4,4,[3. 3. 1. 1.],260.0
4,4,[3. 3. 1. 2.],260.0
4,4,[3. 3. 1. 3.],264.0
4,4,[3. 3. 2. 0.],260.0
4,4,[3. 3. 2. 1.],260.0
4,4,[3. 3. 2. 2.],260.0
4,4,[3. 3. 2. 3.],264.0
4,4,[3. 3. 3. 0.],276.0
4,4,[3. 3. 3. 1.],276.0
4,4,[3. 3. 3. 2.],276.0
4,4,[3. 3. 3. 3.],340.0
4,5,[0. 0. 0. 0. 0.],1364.0
4,5,[0. 0. 0. 0. 1.],1108.0
4,5,[0. 0. 0. 0. 2.],1108.0
4,5,[0. 0. 0. 0. 3.],1108.0
4,5,[0. 0. 0. 1. 0.],1048.0
4,5,[0. 0. 0. 1. 1.],1044.0
4,5,[0. 0. 0. 1. 2.],1044.0
4,5,[0. 0. 0. 1. 3.],1044.0
4,5,[0. 0. 0. 2. 0.],1048.0
4,5,[0. 0. 0. 2. 1.],1044.0
4,5,[0. 0. 0. 2. 2.],1044.0
4,5,[0. 0. 0. 2. 3.],1044.0
4,5,[0. 0. 0. 3. 0.],1048.0
4,5,[0. 0. 0. 3. 1.],1044.0
4,5,[0. 0. 0. 3. 2.],1044.0
4,5,[0. 0. 0. 3. 3.],1044.0
4,5,[0. 0. 1. 0. 0.],1048.0
4,5,[0. 0. 1. 0. 1.],1032.0
4,5,[0. 0. 1. 0. 2.],1032.0
4,5,[0. 0. 1. 0. 3.],1032.0
4,5,[0. 0. 1. 1. 0.],1032.0
4,5,[0. 0. 1. 1. 1.],1028.0
4,5,[0. 0. 1. 1. 2.],1028.0
4,5,[0. 0. 1. 1. 3.],1028.0
4,5,[0. 0. 1. 2. 0.],1032.0
4,5,[0. 0. 1. 2. 1.],1028.0
4,5,[0. 0. 1. 2. 2.],1028.0
4,5,[0. 0. 1. 2. 3.],1028.0
4,5,[0. 0. 1. 3. 0.],1032.0
4,5,[0. 0. 1. 3. 1.],1028.0
4,5,[0. 0. 1. 3. 2.],1028.0
4,5,[0. 0. 1. 3. 3.],1028.0
4,5,[0. 0. 2. 0. 0.],1048.0
4,5,[0. 0. 2. 0. 1.],1032.0
4,5,[0. 0. 2. 0. 2.],1032.0
4,5,[0. 0. 2. 0. 3.],1032.0
4,5,[0. 0. 2. 1. 0.],1032.0
4,5,[0. 0. 2. 1. 1.],1028.0
4,5,[0. 0. 2. 1. 2.],1028.0
4,5,[0. 0. 2. 1. 3.],1028.0
4,5,[0. 0. 2. 2. 0.],1032.0
4,5,[0. 0. 2. 2. 1.],1028.0
4,5,[0. 0. 2. 2. 2.],1028.0
4,5,[0. 0. 2. 2. 3.],1028.0
4,5,[0. 0. 2. 3. 0.],1032.0
4,5,[0. 0. 2. 3. 1.],1028.0
4,5,[0. 0. 2. 3. 2.],1028.0
4,5,[0. 0. 2. 3. 3.],1028.0
4,5,[0. 0. 3. 0. 0.],1048.0
4,5,[0. 0. 3. 0. 1.],1032.0
4,5,[0. 0. 3. 0. 2.],1032.0
4,5,[0. 0. 3. 0. 3.],1032.0
4,5,[0. 0. 3. 1. 0.],1032.0
4,5,[0. 0. 3. 1. 1.],1028.0
4,5,[0. 0. 3. 1. 2.],1028.0
4,5,[0. 0. 3. 1. 3.],1028.0
4,5,[0. 0. 3. 2. 0.],1032.0
4,5,[0. 0. 3. 2. 1.],1028.0
4,5,[0. 0. 3. 2. 2.],1028.0
4,5,[0. 0. 3. 2. 3.],1028.0
4,5,[0. 0. 3. 3. 0.],1032.0
4,5,[0. 0. 3. 3. 1.],1028.0
4,5,[0. 0. 3. 3. 2.],1028.0
4,5,[0. 0. 3. 3. 3.],1028.0
4,5,[0. 1. 0. 0. 0.],1036.0
4,5,[0. 1. 0. 0. 1.],1044.0
4,5,[0. 1. 0. 0. 2.],1032.0
4,5,[0. 1. 0. 0. 3.],1032.0
4,5,[0. 1. 0. 1. 0.],1092.0
4,5,[0. 1. 0. 1. 1.],1040.0
4,5,[0. 1. 0. 1. 2.],1040.0
4,5,[0. 1. 0. 1. 3.],1040.0
4,5,[0. 1. 0. 2. 0.],1032.0
4,5,[0. 1. 0. 2. 1.],1028.0
4,5,[0. 1. 0. 2. 2.],1028.0
4,5,[0. 1. 0. 2. 3.],1028.0
4,5,[0. 1. 0. 3. 0.],1032.0
4,5,[0. 1. 0. 3. 1.],1028.0
