number_of_characters,length_of_case,absorbing_state,expected_value
3,3,[1. 2. 1.],30
3,3,[1. 2. 2.],27
3,3,[2. 0. 0.],27
3,3,[2. 0. 1.],27
3,3,[2. 0. 2.],30
3,3,[2. 1. 0.],27
3,3,[2. 1. 1.],27
3,3,[2. 1. 2.],30
3,3,[2. 2. 0.],36
3,3,[2. 2. 1.],36
3,3,[2. 2. 2.],39
3,4,[0. 0. 0. 0.],120
3,4,[0. 0. 0. 1.],117
3,4,[0. 0. 0. 2.],117
3,4,[0. 0. 1. 0.],111
3,4,[0. 0. 1. 1.],108
3,4,[0. 0. 1. 2.],108
3,4,[0. 0. 2. 0.],111
3,4,[0. 0. 2. 1.],108
3,4,[0. 0. 2. 2.],108
3,4,[0. 1. 0. 0.],93
3,4,[0. 1. 0. 1.],90
3,4,[0. 1. 0. 2.],90
3,4,[0. 1. 1. 0.],84
3,4,[0. 1. 1. 1.],81
3,4,[0. 1. 1. 2.],81
3,4,[0. 1. 2. 0.],84
3,4,[0. 1. 2. 1.],81
3,4,[0. 1. 2. 2.],81
3,4,[0. 2. 0. 0.],93
3,4,[0. 2. 0. 1.],90
3,4,[0. 2. 0. 2.],90
3,4,[0. 2. 1. 0.],84
3,4,[0. 2. 1. 1.],81
3,4,[0. 2. 1. 2.],81
3,4,[0. 2. 2. 0.],84
3,4,[0. 2. 2. 1.],81
3,4,[0. 2. 2. 2.],81
3,4,[1. 0. 0. 0.],81
3,4,[1. 0. 0. 1.],84
3,4,[1. 0. 0. 2.],81
3,4,[1. 0. 1. 0.],90
3,4,[1. 0. 1. 1.],93
3,4,[1. 0. 1. 2.],90
3,4,[1. 0. 2. 0.],81
3,4,[1. 0. 2. 1.],84
3,4,[1. 0. 2. 2.],81
3,4,[1. 1. 0. 0.],108
3,4,[1. 1. 0. 1.],111
3,4,[1. 1. 0. 2.],108
3,4,[1. 1. 1. 0.],117
3,4,[1. 1. 1. 1.],120
3,4,[1. 1. 1. 2.],117
3,4,[1. 1. 2. 0.],108
3,4,[1. 1. 2. 1.],111
3,4,[1. 1. 2. 2.],108
3,4,[1. 2. 0. 0.],81
3,4,[1. 2. 0. 1.],84
3,4,[1. 2. 0. 2.],81
3,4,[1. 2. 1. 0.],90
3,4,[1. 2. 1. 1.],93
3,4,[1. 2. 1. 2.],90
3,4,[1. 2. 2. 0.],81
3,4,[1. 2. 2. 1.],84
3,4,[1. 2. 2. 2.],81
3,4,[2. 0. 0. 0.],81
3,4,[2. 0. 0. 1.],81
3,4,[2. 0. 0. 2.],84
3,4,[2. 0. 1. 0.],81
3,4,[2. 0. 1. 1.],81
3,4,[2. 0. 1. 2.],84
3,4,[2. 0. 2. 0.],90
3,4,[2. 0. 2. 1.],90
3,4,[2. 0. 2. 2.],93
3,4,[2. 1. 0. 0.],81
3,4,[2. 1. 0. 1.],81
3,4,[2. 1. 0. 2.],84
3,4,[2. 1. 1. 0.],81
3,4,[2. 1. 1. 1.],81
3,4,[2. 1. 1. 2.],84
3,4,[2. 1. 2. 0.],90
3,4,[2. 1. 2. 1.],90
3,4,[2. 1. 2. 2.],93
3,4,[2. 2. 0. 0.],108
3,4,[2. 2. 0. 1.],108
3,4,[2. 2. 0. 2.],111
3,4,[2. 2. 1. 0.],108
3,4,[2. 2. 1. 1.],108
3,4,[2. 2. 1. 2.],111
3,4,[2. 2. 2. 0.],117
3,4,[2. 2. 2. 1.],117
3,4,[2. 2. 2. 2.],120
3,5,[0. 0. 0. 0. 0.],363
3,5,[0. 0. 0. 0. 1.],360
3,5,[0. 0. 0. 0. 2.],360
3,5,[0. 0. 0. 1. 0.],354
3,5,[0. 0. 0. 1. 1.],351
3,5,[0. 0. 0. 1. 2.],351
3,5,[0. 0. 0. 2. 0.],354
3,5,[0. 0. 0. 2. 1.],351
3,5,[0. 0. 0. 2. 2.],351
3,5,[0. 0. 1. 0. 0.],336
3,5,[0. 0. 1. 0. 1.],333
3,5,[0. 0. 1. 0. 2.],333
3,5,[0. 0. 1. 1. 0.],327
3,5,[0. 0. 1. 1. 1.],324
3,5,[0. 0. 1. 1. 2.],324
3,5,[0. 0. 1. 2. 0.],327
3,5,[0. 0. 1. 2. 1.],324
3,5,[0. 0. 1. 2. 2.],324
3,5,[0. 0. 2. 0. 0.],336
3,5,[0. 0. 2. 0. 1.],333
3,5,[0. 0. 2. 0. 2.],333
3,5,[0. 0. 2. 1. 0.],327
3,5,[0. 0. 2. 1. 1.],324
3,5,[0. 0. 2. 1. 2.],324
3,5,[0. 0. 2. 2. 0.],327
3,5,[0. 0. 2. 2. 1.],324
3,5,[0. 0. 2. 2. 2.],324
3,5,[0. 1. 0. 0. 0.],282
3,5,[0. 1. 0. 0. 1.],279
